loan_amnt,funded_amnt,funded_amnt_inv,term (months),int_rate (%),installment,grade,sub_grade,emp_length (year),home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,revol_bal,revol_util (%),total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,funded_ratio,credit_history_age,payment_ratio
10000,10000,10000.0,36.0,10.65,325.74,B,B2,3,RENT,100000.0,Source Verified,2011-12-01,Charged Off,other,7.06,0,1991-05-01,2,14,11997,55.5,29,7471.99,7471.99,5433.47,1393.42,325.74,1.0,20.6,0.032574
1000,1000,1000.0,36.0,16.29,35.31,D,D1,0,RENT,28000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,20.31,0,2007-09-01,1,11,6524,81.5,23,1270.716942,1270.72,1000.0,270.72,36.32,1.0,4.252054794520548,0.03531
10000,10000,10000.0,36.0,15.27,347.98,C,C4,4,RENT,42000.0,Not Verified,2011-12-01,Fully Paid,home_improvement,18.6,0,1998-10-01,2,14,24043,70.2,28,12527.15,12527.15,10000.0,2527.15,370.46,1.0,13.175342465753424,0.034798
3600,3600,3600.0,36.0,6.03,109.57,A,A1,10,MORTGAGE,110000.0,Not Verified,2011-12-01,Fully Paid,major_purchase,10.52,0,1993-08-01,0,20,22836,16.0,42,3785.271965,3785.27,3600.0,185.27,583.45,1.0,18.345205479452055,0.030436111111111108
6000,6000,6000.0,36.0,11.71,198.46,B,B3,1,MORTGAGE,84000.0,Verified,2011-12-01,Fully Paid,medical,18.44,2,2003-10-01,0,4,0,37.73,14,7167.072893,7167.07,6000.0,1152.07,16.98,1.0,8.172602739726027,0.03307666666666667
9200,9200,9200.0,36.0,6.03,280.01,A,A1,6,RENT,77385.19,Not Verified,2011-12-01,Fully Paid,debt_consolidation,9.86,0,2001-01-01,0,8,7314,23.1,28,9460.000848,9460.0,9200.0,260.0,8061.1,1.0,10.92054794520548,0.03043586956521739
20250,20250,19142.16108,60.0,15.27,484.63,C,C4,3,RENT,43370.0,Verified,2011-12-01,Fully Paid,debt_consolidation,26.53,0,1997-11-01,3,8,17813,85.6,22,27679.05,25433.6,20250.0,7429.05,6024.09,1.0,14.09041095890411,0.023932345679012347
21000,21000,21000.0,36.0,12.42,701.73,B,B4,10,RENT,105000.0,Verified,2011-12-01,Charged Off,debt_consolidation,13.22,0,1983-02-01,0,7,32135,90.3,38,14025.4,14025.4,10694.96,3330.44,701.73,1.0,28.84931506849315,0.033415714285714285
10000,10000,10000.0,36.0,11.71,330.76,B,B3,10,OWN,50000.0,Source Verified,2011-12-01,Fully Paid,credit_card,11.18,0,1985-07-01,0,8,10056,82.4,21,11907.35,11907.35,10000.0,1907.35,349.21,1.0,26.435616438356163,0.033076
10000,10000,10000.0,36.0,11.71,330.76,B,B3,5,RENT,50000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,16.01,0,2003-04-01,0,6,17800,91.8,17,11540.89198,11540.89,10000.0,1540.89,4942.63,1.0,8.673972602739726,0.033076
6000,6000,6000.0,36.0,11.71,198.46,B,B3,1,RENT,76000.0,Not Verified,2011-12-01,Charged Off,major_purchase,2.4,0,2001-06-01,1,7,5963,29.7,7,2050.14,2050.14,1305.58,475.25,198.46,1.0,10.506849315068493,0.03307666666666667
15000,15000,15000.0,36.0,9.91,483.38,B,B1,2,MORTGAGE,92000.0,Verified,2011-12-01,Fully Paid,credit_card,29.44,0,2002-02-01,0,8,13707,93.9,31,15823.99905,15824.0,15000.0,824.0,2447.05,1.0,9.835616438356164,0.032225333333333335
15000,15000,8725.0,36.0,14.27,514.64,C,C2,9,RENT,60000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,15.22,0,2003-10-01,1,7,5872,57.6,11,0.0,0.0,0.0,0.0,0.0,1.0,8.172602739726027,0.03430933333333333
5000,5000,5000.0,60.0,16.77,123.65,D,D2,2,RENT,50004.0,Not Verified,2011-12-01,Charged Off,other,13.97,3,2003-10-01,0,14,4345,59.5,22,1609.12,1609.12,629.05,719.11,123.65,1.0,8.172602739726027,0.024730000000000002
4000,4000,4000.0,36.0,11.71,132.31,B,B3,10,MORTGAGE,106000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,5.63,1,1984-08-01,0,12,6110,37.7,44,4486.293519,4486.29,4000.0,486.29,2638.77,1.0,27.350684931506848,0.0330775
8500,8500,8500.0,36.0,11.71,281.15,B,B3,0,RENT,25000.0,Source Verified,2011-12-01,Fully Paid,credit_card,12.19,0,2006-11-01,0,8,6441,59.1,12,10126.08844,10126.09,8500.0,1626.09,581.59,1.0,5.0849315068493155,0.03307647058823529
4375,4375,4375.0,36.0,7.51,136.11,A,A3,7,MORTGAGE,17108.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,20.34,0,1987-12-01,0,6,11210,86.9,12,4899.96,4899.96,4375.0,524.96,144.94,1.0,24.016438356164382,0.031110857142857145
31825,31825,31825.0,36.0,7.9,995.82,A,A4,5,MORTGAGE,75000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,14.03,0,1981-11-01,0,12,23151,27.4,26,34886.91378,34886.91,31825.0,3061.91,16966.7,1.0,30.101369863013698,0.0312904948939513
5000,5000,5000.0,36.0,8.9,158.77,A,A5,2,RENT,24044.0,Verified,2011-12-01,Fully Paid,debt_consolidation,11.93,0,2005-04-01,0,8,2224,29.3,16,5715.56,5715.56,5000.0,715.56,163.64,1.0,6.671232876712328,0.031754000000000004
7000,7000,7000.0,36.0,15.96,245.97,C,C5,7,RENT,34000.0,Source Verified,2011-12-01,Fully Paid,credit_card,6.35,0,2007-10-01,1,6,6113,60.5,6,8854.510004,8854.51,7000.0,1854.51,260.74,1.0,4.16986301369863,0.03513857142857143
12400,12400,12400.0,36.0,10.65,403.91,B,B2,10,RENT,41000.0,Not Verified,2011-12-01,Fully Paid,credit_card,11.8,0,2005-07-01,2,9,11095,57.2,12,14540.67999,14540.68,12400.0,2140.68,417.61,1.0,6.421917808219178,0.032573387096774195
10800,10800,10800.0,36.0,9.91,348.03,B,B1,2,RENT,55596.0,Source Verified,2011-12-01,Fully Paid,moving,5.5,0,2000-12-01,0,7,2535,13.3,18,12159.18687,12159.19,10800.0,1359.19,3483.79,1.0,11.005479452054795,0.032225
15000,15000,15000.0,36.0,7.9,469.36,A,A4,1,RENT,45000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,8.48,0,2004-11-01,0,7,6704,50.4,27,16663.34403,16663.34,15000.0,1663.34,5872.8,1.0,7.0849315068493155,0.03129066666666667
6000,6000,6000.0,36.0,12.42,200.5,B,B4,1,RENT,36852.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,10.62,0,2007-04-01,1,7,7310,66.5,12,7127.722011,7127.72,6000.0,1127.72,1923.53,1.0,4.671232876712328,0.033416666666666664
9600,9600,9600.0,36.0,7.51,298.67,A,A3,4,RENT,68004.0,Source Verified,2011-12-01,Fully Paid,other,6.63,0,2003-01-01,0,6,2896,18.1,11,10751.86997,10751.87,9600.0,1151.87,311.56,1.0,8.92054794520548,0.031111458333333335
12000,12000,12000.0,36.0,7.9,375.49,A,A4,10,RENT,62300.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,16.7,0,1994-03-01,0,15,8601,21.0,25,13517.36,13517.36,12000.0,1517.36,380.98,1.0,17.764383561643836,0.03129083333333334
3000,3000,3000.0,36.0,18.25,108.84,D,D5,9,MORTGAGE,65000.0,Not Verified,2011-12-01,Fully Paid,other,17.39,0,1998-09-01,0,8,43936,98.1,22,3917.949999,3917.95,3000.0,917.95,115.38,1.0,13.257534246575343,0.03628
4400,4400,4400.0,36.0,16.77,156.37,D,D2,10,RENT,55000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,20.01,0,2004-06-01,0,7,25237,99.0,11,5629.270001,5629.27,4400.0,1229.27,162.44,1.0,7.504109589041096,0.03553863636363636
6000,6000,6000.0,36.0,6.03,182.62,A,A1,10,MORTGAGE,45600.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,5.34,0,1995-11-01,1,6,3378,32.5,28,6065.86,6065.86,6000.0,65.86,15.01,1.0,16.09315068493151,0.030436666666666667
14000,14000,14000.0,36.0,9.91,451.15,B,B1,6,RENT,80000.0,Not Verified,2011-12-01,Fully Paid,small_business,10.0,0,1999-07-01,1,7,2219,13.4,40,16241.38,16241.38,14000.0,2241.38,457.91,1.0,12.427397260273972,0.032225
5000,5000,5000.0,36.0,8.9,158.77,A,A5,10,MORTGAGE,100000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,16.33,0,1995-06-01,0,17,74351,62.1,35,5021.37,5021.37,4217.38,696.99,158.77,1.0,16.512328767123286,0.031754000000000004
10000,10000,10000.0,36.0,10.65,325.74,B,B2,6,RENT,27000.0,Verified,2011-12-01,Fully Paid,other,11.47,0,2006-11-01,0,7,7814,52.3,10,11726.32,11726.32,10000.0,1726.32,332.92,1.0,5.0849315068493155,0.032574
10000,10000,10000.0,36.0,6.03,304.36,A,A1,10,RENT,60000.0,Not Verified,2011-12-01,Fully Paid,credit_card,12.74,0,1992-09-01,1,11,14019,19.5,18,10282.70571,10282.71,10000.0,282.71,8762.05,1.0,19.26027397260274,0.030436
11000,11000,11000.0,36.0,6.62,337.75,A,A2,5,RENT,70000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,10.85,0,2002-01-01,0,5,11638,36.4,7,12158.61,12158.61,11000.0,1158.61,346.13,1.0,9.92054794520548,0.030704545454545453
15000,15000,15000.0,36.0,9.91,483.38,B,B1,8,MORTGAGE,80000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,9.12,0,1992-04-01,2,9,11845,63.7,28,16177.77,16177.77,13556.45,2374.34,483.38,1.0,19.67945205479452,0.032225333333333335
25600,25600,25350.0,36.0,9.91,824.96,B,B1,9,RENT,110000.0,Verified,2011-12-01,Fully Paid,credit_card,15.71,0,1999-07-01,0,11,26088,62.0,27,29698.51,29408.49,25600.0,4098.51,838.27,1.0,12.427397260273972,0.032225000000000004
7000,7000,7000.0,36.0,10.65,228.02,B,B2,0,RENT,40000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,7.38,0,2004-04-01,0,7,12168,92.9,12,8208.410003,8208.41,7000.0,1208.41,240.27,1.0,7.671232876712328,0.032574285714285715
12000,12000,12000.0,36.0,15.96,421.65,C,C5,4,RENT,50000.0,Not Verified,2011-12-01,Charged Off,car,20.88,0,2006-10-01,2,11,15793,90.8,11,3521.95,3521.95,1903.66,1039.35,421.65,1.0,5.16986301369863,0.035137499999999995
12000,12000,12000.0,36.0,9.91,386.7,B,B1,1,RENT,46000.0,Not Verified,2011-12-01,Fully Paid,credit_card,8.11,0,2000-05-01,1,11,12143,52.1,12,13751.14474,13751.14,12000.0,1751.14,964.73,1.0,11.591780821917808,0.032225
21000,21000,20975.0,60.0,19.91,555.33,E,E4,7,RENT,50000.0,Verified,2011-12-01,Charged Off,debt_consolidation,21.58,0,1998-09-01,1,7,19448,97.6,14,18319.14,18297.35,8990.81,9328.33,555.33,1.0,13.257534246575343,0.026444285714285715
16000,16000,15950.0,60.0,19.91,423.11,E,E4,7,RENT,81000.0,Verified,2011-12-01,Fully Paid,credit_card,20.52,0,1998-12-01,3,12,27884,75.1,21,20882.09701,20816.84,16000.0,4882.1,9931.02,1.0,13.008219178082191,0.026444375
10000,10000,10000.0,36.0,12.42,334.16,B,B4,0,OWN,39000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,18.58,0,2004-12-01,0,5,12874,72.7,10,11477.10378,11477.1,10000.0,1477.1,5803.94,1.0,7.002739726027397,0.033416
10000,10000,10000.0,36.0,10.65,325.74,B,B2,2,RENT,51400.0,Not Verified,2011-12-01,Fully Paid,credit_card,19.14,0,2000-10-01,3,10,10160,59.1,24,10576.43411,10576.43,10000.0,576.43,8627.74,1.0,11.172602739726027,0.032574
7100,7100,7100.0,36.0,16.77,252.33,D,D2,1,MORTGAGE,33000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,24.0,0,2007-04-01,2,4,6021,91.2,8,9083.530005,9083.53,7100.0,1983.53,262.78,1.0,4.671232876712328,0.03553943661971831
13000,13000,13000.0,60.0,12.69,293.74,B,B5,0,MORTGAGE,30000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,13.72,0,2002-05-01,0,17,17080,58.9,27,17402.23999,17402.24,13000.0,4402.24,3596.46,1.0,9.591780821917808,0.022595384615384614
17500,8950,8925.0,60.0,17.27,223.74,D,D3,6,RENT,40000.0,Verified,2011-12-01,Fully Paid,small_business,19.47,0,2006-05-01,1,5,10724,58.9,6,13227.10001,13190.15,8950.0,4277.1,2487.58,0.5114285714285715,5.589041095890411,0.024998882681564246
17675,17675,17675.0,60.0,14.65,417.25,C,C3,0,RENT,50000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,16.46,0,2002-07-01,2,6,6661,57.4,14,21323.86749,21323.87,17675.0,3648.87,13814.81,1.0,9.424657534246576,0.023606789250353605
8000,8000,8000.0,36.0,16.77,284.31,D,D2,0,RENT,62000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,21.64,0,2006-07-01,3,14,6088,66.9,20,10273.24,10273.24,8000.0,2258.24,606.54,1.0,5.421917808219178,0.03553875
10000,10000,9975.0,60.0,10.65,215.69,B,B2,10,RENT,45996.0,Verified,2011-12-01,Charged Off,debt_consolidation,21.73,0,1997-05-01,1,7,11170,30.1,15,8772.91,8751.08,5495.38,2429.23,1.0,1.0,14.594520547945205,0.021569
3500,3500,3500.0,36.0,10.65,114.01,B,B2,7,MORTGAGE,55000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,5.39,0,2005-10-01,1,9,6611,45.9,12,4104.209999,4104.21,3500.0,604.21,118.32,1.0,6.16986301369863,0.032574285714285715
12500,8925,8925.0,60.0,17.27,223.11,D,D3,5,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,13.16,0,1995-04-01,0,7,9844,70.8,28,5577.75,5577.75,2812.82,2742.43,223.11,0.714,16.67945205479452,0.024998319327731094
16425,16425,16425.0,36.0,14.27,563.53,C,C2,4,RENT,44544.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,22.71,0,2002-10-01,1,10,15747,83.4,18,18174.82881,18174.83,16425.0,1749.83,13108.71,1.0,9.172602739726027,0.034309284627092845
8200,8200,8200.0,60.0,21.28,223.14,F,F2,4,RENT,75000.0,Source Verified,2011-12-01,Charged Off,small_business,12.48,0,2000-01-01,3,6,9012,73.9,11,4173.57,4173.57,1525.83,2265.85,223.14,1.0,11.923287671232877,0.027212195121951218
15000,15000,15000.0,36.0,14.65,517.42,C,C3,2,OWN,61000.0,Verified,2011-12-01,Fully Paid,credit_card,11.88,0,2004-06-01,1,8,19397,79.5,18,18565.14804,18565.15,15000.0,3565.15,2533.38,1.0,7.504109589041096,0.03449466666666667
20975,13575,13550.0,60.0,17.58,341.63,D,D4,5,MORTGAGE,44000.0,Verified,2011-12-01,Fully Paid,credit_card,18.79,0,2000-04-01,0,13,20657,79.4,21,18112.46087,18079.1,13575.0,4537.46,9245.21,0.6471990464839095,11.673972602739726,0.025166114180478823
6400,6400,6400.0,36.0,16.77,227.45,D,D2,5,RENT,75000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,20.22,0,1994-12-01,0,9,7159,67.5,27,4776.45,4776.45,3334.25,1431.91,227.45,1.0,17.01095890410959,0.035539062499999996
3000,3000,3000.0,36.0,13.49,101.8,C,C1,1,RENT,33600.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,18.11,0,2005-10-01,0,4,2745,83.2,7,3247.889478,3247.89,3000.0,247.89,2539.58,1.0,6.16986301369863,0.03393333333333333
12000,12000,12000.0,36.0,16.77,426.47,D,D2,3,RENT,50000.0,Not Verified,2011-12-01,Fully Paid,credit_card,20.57,0,2005-09-01,1,13,11443,97.0,19,15352.47999,15352.48,12000.0,3352.48,441.52,1.0,6.252054794520548,0.03553916666666667
14400,14400,14400.0,36.0,8.9,457.25,A,A5,0,OWN,150000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,14.85,0,1994-12-01,0,12,63864,55.0,38,16460.85,16460.85,14400.0,2060.85,464.02,1.0,17.01095890410959,0.031753472222222225
12000,12000,12000.0,36.0,14.65,413.94,C,C3,10,RENT,90000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,16.56,0,1984-12-01,2,12,17116,78.5,36,12699.71201,12699.71,12000.0,699.71,11046.6,1.0,27.016438356164382,0.034495
11000,11000,11000.0,36.0,13.49,373.24,C,C1,10,MORTGAGE,48000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,21.82,0,1999-12-01,3,15,11382,65.0,29,13418.28,13418.28,11000.0,2418.28,1491.29,1.0,12.008219178082191,0.033930909090909095
7250,7200,7175.0,60.0,21.67,197.51,F,F3,0,RENT,75000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,24.82,0,2000-05-01,2,9,21706,91.2,19,8204.774089,8176.29,7200.0,1004.77,6824.7,0.993103448275862,11.591780821917808,0.027431944444444443
15000,15000,15000.0,36.0,7.9,469.36,A,A4,1,MORTGAGE,52000.0,Not Verified,2011-12-01,Fully Paid,small_business,9.65,0,2003-11-01,1,11,1616,6.7,29,15557.68008,15557.68,15000.0,557.68,312.74,1.0,8.087671232876712,0.03129066666666667
18000,18000,18000.0,60.0,19.91,475.99,E,E4,10,MORTGAGE,65000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,6.81,0,1989-06-01,0,10,11745,77.8,40,26034.66002,26034.66,18000.0,8010.86,10783.73,1.0,22.515068493150686,0.02644388888888889
35000,22075,22050.0,60.0,17.27,551.84,D,D3,3,MORTGAGE,150000.0,Verified,2011-12-01,Fully Paid,home_improvement,7.51,0,2003-06-01,1,11,7334,53.3,31,28887.10007,28854.39,22075.0,6812.1,15660.22,0.6307142857142857,8.506849315068493,0.02499841449603624
10000,10000,10000.0,36.0,14.27,343.09,C,C2,2,RENT,68000.0,Source Verified,2011-12-01,Fully Paid,credit_card,15.39,0,2006-07-01,1,9,11303,81.3,15,10672.89443,10672.89,10000.0,672.89,8962.31,1.0,5.421917808219178,0.034309
11800,11800,11800.0,36.0,12.69,395.83,B,B5,6,RENT,42000.0,Source Verified,2011-12-01,Fully Paid,credit_card,9.86,0,1996-10-01,0,4,8940,74.8,13,14249.84001,14249.84,11800.0,2449.84,419.36,1.0,15.175342465753424,0.033544915254237286
4500,4500,4500.0,36.0,6.03,136.96,A,A1,4,RENT,53000.0,Source Verified,2011-12-01,Fully Paid,major_purchase,4.44,0,2000-10-01,0,7,8630,13.9,17,4930.555891,4930.56,4500.0,430.56,138.95,1.0,11.172602739726027,0.030435555555555556
7000,7000,7000.0,36.0,12.69,234.82,B,B5,10,RENT,35000.0,Source Verified,2011-12-01,Fully Paid,credit_card,11.35,0,2000-05-01,2,10,7649,82.3,26,8453.260001,8453.26,7000.0,1453.26,248.19,1.0,11.591780821917808,0.03354571428571428
9200,9200,9200.0,36.0,12.42,307.43,B,B4,2,RENT,60000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,19.96,0,2002-10-01,3,8,23299,78.7,19,10482.84389,10482.84,9200.0,1282.84,365.48,1.0,9.172602739726027,0.03341630434782609
4500,4500,4475.0,60.0,10.65,97.06,B,B2,0,MORTGAGE,42000.0,Source Verified,2011-12-01,Fully Paid,car,5.4,0,1983-02-01,0,4,8220,78.3,9,4910.673856,4883.39,4500.0,410.67,3946.24,1.0,28.84931506849315,0.02156888888888889
12000,12000,12000.0,36.0,16.29,423.61,D,D1,9,RENT,88365.0,Verified,2011-12-01,Fully Paid,debt_consolidation,16.85,0,1996-10-01,0,6,22936,96.4,15,14688.34153,14688.34,12000.0,2688.34,5800.45,1.0,15.175342465753424,0.03530083333333334
12000,12000,12000.0,36.0,13.49,407.17,C,C1,4,RENT,72000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,21.33,0,2003-05-01,1,11,3419,27.6,19,13990.92132,13990.92,12000.0,1990.92,426.26,1.0,8.591780821917808,0.033930833333333334
12000,12000,12000.0,36.0,10.65,390.88,B,B2,0,RENT,62000.0,Verified,2011-12-01,Fully Paid,credit_card,23.94,0,2002-06-01,0,10,20310,78.4,51,12780.07239,12780.07,12000.0,780.07,10046.57,1.0,9.506849315068493,0.032573333333333336
7000,7000,7000.0,36.0,10.65,228.02,B,B2,3,MORTGAGE,43680.0,Not Verified,2011-12-01,Fully Paid,credit_card,5.38,0,2000-10-01,0,7,6245,78.1,11,7689.273614,7689.27,7000.0,689.27,4958.61,1.0,11.172602739726027,0.032574285714285715
8200,8200,8200.0,60.0,19.42,214.62,E,E3,3,RENT,120000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,2.8,0,2007-06-01,2,5,10392,88.4,6,11909.45001,11909.45,8200.0,3709.45,4625.07,1.0,4.504109589041096,0.02617317073170732
10500,10500,10500.0,36.0,12.69,352.23,B,B5,10,RENT,66000.0,Verified,2011-12-01,Fully Paid,medical,20.73,1,1998-09-01,2,8,5790,51.2,26,11233.31941,11233.32,10500.0,733.32,4421.32,1.0,13.257534246575343,0.03354571428571429
7000,7000,7000.0,36.0,11.71,231.54,B,B3,4,OWN,39120.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,21.01,0,1996-12-01,0,8,9414,52.4,26,7933.963623,7933.96,7000.0,933.96,4235.03,1.0,15.008219178082191,0.033077142857142854
20000,12800,12775.0,60.0,11.71,282.86,B,B3,4,MORTGAGE,47800.0,Verified,2011-12-01,Fully Paid,debt_consolidation,10.04,0,2001-11-01,0,15,16447,46.3,27,15169.30547,15139.68,12800.0,2369.31,9242.39,0.64,10.087671232876712,0.022098437500000002
17500,17500,17500.0,60.0,17.27,437.47,D,D3,7,MORTGAGE,45000.0,Not Verified,2011-12-01,Charged Off,credit_card,21.31,0,2002-09-01,2,13,20129,86.1,26,10037.1,10037.1,3077.85,3473.25,437.47,1.0,9.254794520547945,0.024998285714285716
3500,3500,3500.0,36.0,6.03,106.53,A,A1,10,MORTGAGE,83000.0,Verified,2011-12-01,Fully Paid,car,2.31,0,1986-01-01,0,6,3092,13.4,28,3834.858171,3834.86,3500.0,334.86,107.86,1.0,25.931506849315067,0.030437142857142857
6200,6200,6200.0,36.0,9.91,199.8,B,B1,2,RENT,25000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,20.64,0,1998-05-01,2,7,6533,47.7,12,2452.22,2452.22,1700.79,493.16,199.8,1.0,13.594520547945205,0.0322258064516129
6000,6000,6000.0,36.0,8.9,190.52,A,A5,8,OWN,28800.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,13.17,0,2005-07-01,0,11,5269,36.8,13,6858.700001,6858.7,6000.0,858.7,198.47,1.0,6.421917808219178,0.031753333333333335
7200,7200,7200.0,36.0,9.91,232.02,B,B1,6,RENT,135000.0,Not Verified,2011-12-01,Fully Paid,credit_card,6.12,0,1997-01-01,0,7,16627,79.6,18,8352.709998,8352.71,7200.0,1152.71,240.64,1.0,14.923287671232877,0.032225000000000004
9500,9500,9500.0,36.0,8.9,301.66,A,A5,7,MORTGAGE,50000.0,Not Verified,2011-12-01,Fully Paid,credit_card,8.18,0,2005-06-01,0,8,13422,60.5,13,10495.82126,10495.82,9500.0,995.82,5378.43,1.0,6.504109589041096,0.031753684210526316
18825,18825,18800.0,60.0,16.77,465.53,D,D2,10,RENT,38000.0,Verified,2011-12-01,Charged Off,debt_consolidation,23.18,0,2004-12-01,0,6,11004,79.7,7,18749.25,18724.53,8087.75,6786.71,465.53,1.0,7.002739726027397,0.02472934926958831
